"RTD End Time Stamp","Zone Name","Zone PTID","RTD 10 Min Sync","RTD 10 Min Non Sync","RTD 30 Min Non Sync","RTD NYCA Regulation Capacity","RTD NYCA Regulation Movement","RTD AS Price Version"
"2019/02/27 01:15:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:15:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:15:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:20:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:25:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:30:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:35:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:40:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:45:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:50:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 01:55:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:00:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:05:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:10:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:15:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:20:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:25:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:30:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:35:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 02:40:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 02:45:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 02:45:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 02:45:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 02:45:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 02:45:00","HUD VL","61758","0","0","0","3","0.3","1"
